,TimeSpent_minutes,Age_Range,humidity(%),Hour,TotalSpent_RM,Basket_colour,Pants_Colour,windspeed(km/h),Shirt_Colour,Day,temperature(Celcius),Body_Size,Dryer_No,Washer_No,Race
877,42,47,92.0,11,20,4,3,4.0,1,6,25.0,2,8,4,2
2252,46,44,88.0,20,10,1,3,7.0,10,4,26.0,0,8,4,1
2667,22,20,82.0,17,19,8,7,5.0,9,3,28.0,1,8,4,0
1430,53,57,94.0,19,15,9,2,4.0,1,7,25.0,1,7,4,3
13,15,32,77.0,9,7,5,2,7.0,5,2,27.0,1,9,3,2
3916,23,28,81.0,10,10,1,9,6.0,2,2,27.0,0,10,6,3
3121,57,21,76.0,4,9,6,8,12.0,8,6,29.0,1,9,6,0
3160,53,54,88.0,20,8,9,6,5.0,8,4,26.0,2,9,6,1
2972,50,60,87.0,16,15,3,7,7.0,0,4,26.0,2,8,5,0
376,28,36,90.0,19,19,0,2,4.0,2,1,26.0,0,9,5,2
504,32,31,94.0,21,11,0,2,4.0,1,5,25.0,2,8,3,1
2102,52,42,81.0,8,10,8,1,6.0,2,4,26.0,2,8,5,0
857,17,28,78.0,19,7,5,5,8.0,10,1,27.0,2,10,4,1
503,51,44,94.0,21,13,0,11,5.0,5,5,25.0,1,8,6,1
1081,32,33,88.0,11,15,1,5,4.0,2,1,26.0,1,10,4,3
46,50,43,77.0,20,14,4,2,7.0,0,2,27.0,2,7,5,2
2074,17,27,90.0,0,16,5,9,5.0,10,2,25.0,0,9,6,1
266,34,41,84.0,8,14,8,2,4.0,7,3,26.0,2,10,4,1
2254,56,53,90.0,2,15,7,5,5.0,0,5,26.0,1,10,4,1
3542,15,26,80.0,3,15,2,11,5.0,9,2,27.0,0,7,3,1
1781,31,52,80.0,18,11,3,9,6.0,1,7,28.0,0,9,4,0
1022,23,49,80.0,3,20,7,1,6.0,0,2,27.0,0,9,5,1
232,17,36,72.0,15,19,0,2,7.0,1,3,26.0,0,8,4,2
3240,55,30,82.0,10,15,3,9,6.0,1,7,27.0,0,10,6,0
3433,15,32,81.0,22,8,10,2,5.0,6,3,28.0,0,7,6,1
3550,18,43,85.0,6,9,8,6,4.0,7,5,26.0,2,7,5,2
3776,58,19,84.0,22,11,6,10,4.0,8,6,27.0,1,8,3,1
2559,22,44,85.0,3,18,6,7,4.0,8,6,27.0,2,8,3,2
1189,60,32,89.0,10,19,4,6,4.0,0,6,26.0,1,7,5,1
3201,22,30,88.0,5,16,0,4,4.0,8,4,25.0,1,9,4,2
3933,34,21,90.0,19,16,3,11,4.0,7,4,26.0,0,8,3,0
3534,45,47,90.0,14,19,10,2,6.0,9,4,26.0,0,8,4,0
1939,26,56,82.0,14,15,4,3,6.0,2,4,26.0,1,8,6,2
173,22,47,86.0,14,14,1,2,4.0,1,6,26.0,0,7,6,3
1165,56,37,87.0,20,10,3,0,4.0,8,6,26.0,2,10,6,2
204,24,38,84.0,8,14,0,11,5.0,6,7,27.0,0,10,4,1
2670,56,48,85.0,1,11,7,7,4.0,2,6,27.0,1,7,6,0
2408,51,36,84.0,7,12,1,2,6.0,9,5,27.0,1,9,4,2
1177,40,31,72.0,2,13,4,2,5.0,9,5,29.0,0,9,5,2
3034,55,34,86.0,7,20,0,10,4.0,9,1,26.0,2,9,4,0
1162,27,28,82.0,20,7,5,2,7.0,6,6,27.0,2,7,5,0
630,13,45,88.0,18,18,6,2,5.0,9,6,26.0,2,7,3,1
681,39,47,90.0,3,19,1,2,4.0,6,7,25.0,2,8,3,1
3905,50,42,73.0,22,16,4,9,7.0,10,6,29.0,2,10,4,1
2873,12,54,78.0,18,19,6,9,4.0,3,2,28.0,1,10,5,3
3016,14,49,86.0,9,10,6,1,7.0,2,2,26.0,0,9,5,2
2407,38,20,80.0,9,8,3,1,8.0,7,3,28.0,0,7,6,3
1740,30,35,87.0,8,15,7,1,7.0,4,1,26.0,0,7,6,2
621,12,55,88.0,14,19,6,0,5.0,6,6,26.0,1,9,6,1
1671,58,56,78.0,12,13,0,5,8.0,8,6,28.0,0,8,5,0
2479,58,41,74.0,3,18,4,2,7.0,4,4,27.0,1,9,6,2
1787,59,40,89.0,8,12,10,6,5.0,7,4,26.0,2,7,5,2
2747,46,39,73.0,4,7,1,8,7.0,9,6,29.0,1,7,4,2
1292,36,57,88.0,4,19,7,4,5.0,8,3,26.0,0,8,5,2
1106,20,43,86.0,9,13,1,6,5.0,4,6,25.0,0,10,6,2
2415,35,18,85.0,5,11,9,4,5.0,6,3,27.0,1,7,6,0
2347,39,30,71.0,6,21,7,8,10.0,5,6,28.0,1,8,5,3
1625,37,53,78.0,0,14,1,6,5.0,2,3,26.0,2,7,5,3
132,36,40,77.0,16,14,10,5,7.0,10,5,27.0,2,9,4,2
2066,18,44,81.0,21,10,10,11,6.0,9,4,26.0,0,10,5,3
1124,45,47,87.0,13,21,7,1,4.0,8,3,27.0,0,9,5,0
1036,46,56,88.0,19,10,3,8,4.0,2,6,26.0,1,9,5,1
644,39,39,88.0,21,16,3,11,4.0,2,6,26.0,2,7,5,2
778,44,50,90.0,4,18,1,0,4.0,7,7,25.0,0,10,4,0
1877,16,46,78.0,2,18,4,9,6.0,6,1,26.0,0,8,5,1
3903,36,41,88.0,5,13,8,1,5.0,9,3,26.0,1,10,4,0
3467,38,24,90.0,2,10,0,2,4.0,7,4,26.0,1,8,6,1
1747,38,46,87.0,15,16,1,1,7.0,4,1,26.0,1,8,5,0
1926,29,30,74.0,2,19,7,1,6.0,7,5,27.0,1,9,4,1
220,51,38,91.0,22,18,0,6,3.0,1,4,25.0,2,10,6,2
1802,51,30,79.0,6,21,6,2,6.0,3,4,27.0,0,9,4,3
2527,56,60,89.0,1,15,9,3,5.0,3,3,26.0,2,7,3,1
2178,29,60,81.0,22,8,5,0,8.0,9,3,27.0,0,10,5,1
1825,45,31,88.0,8,9,2,1,4.0,5,4,25.0,1,10,6,0
117,15,52,74.0,7,19,0,2,9.0,6,5,28.0,2,7,5,1
3863,18,43,78.0,16,21,7,1,5.0,1,3,28.0,2,10,6,1
1192,16,33,84.0,1,8,2,3,4.0,9,5,25.0,1,8,6,2
2244,30,23,84.0,10,7,4,9,4.0,7,2,26.0,0,8,5,1
563,30,54,88.0,4,7,6,11,5.0,1,6,26.0,0,7,5,2
722,23,45,90.0,4,12,4,2,5.0,0,7,26.0,2,10,6,2
1418,45,60,87.0,22,19,2,4,4.0,10,7,27.0,1,10,5,0
490,43,39,94.0,18,9,1,1,5.0,6,5,25.0,1,9,3,1
1070,17,25,88.0,13,19,7,1,5.0,2,6,27.0,0,8,5,0
2852,54,50,86.0,19,15,6,1,4.0,5,5,26.0,0,10,5,1
2426,14,51,83.0,17,19,6,3,8.0,2,7,27.0,1,8,5,0
1700,26,43,77.0,19,21,4,6,7.0,1,5,28.0,0,10,3,2
2717,33,34,71.0,0,9,1,10,7.0,4,6,29.0,0,8,6,3
1734,20,42,75.0,1,11,10,10,7.0,9,5,27.0,2,8,6,1
2610,27,21,87.0,3,10,6,1,5.0,8,4,27.0,0,8,5,1
3528,25,20,90.0,22,16,6,3,4.0,2,1,25.0,2,9,3,3
1937,42,36,80.0,7,21,8,0,6.0,6,7,28.0,0,8,3,3
1680,49,28,90.0,8,14,8,3,5.0,7,5,26.0,0,7,4,1
2864,48,49,90.0,1,8,2,1,5.0,4,2,27.0,1,8,3,2
1806,14,41,85.0,7,12,4,7,7.0,9,4,27.0,1,7,5,2
2935,20,19,89.0,15,7,1,3,6.0,9,2,26.0,2,9,3,1
2498,15,35,89.0,16,8,1,2,4.0,2,6,26.0,1,9,6,1
2691,54,36,82.0,17,7,6,4,5.0,4,3,28.0,1,7,6,1
609,45,51,88.0,13,16,4,11,4.0,2,6,26.0,2,7,6,2
1770,32,59,88.0,11,17,6,2,5.0,4,3,26.0,1,7,3,1
1796,24,27,88.0,17,13,1,11,4.0,2,3,25.0,0,9,4,3
459,13,38,94.0,8,16,6,11,5.0,8,5,25.0,1,7,4,1
2161,35,55,90.0,20,9,5,8,5.0,0,5,26.0,0,9,4,2
997,19,29,90.0,23,20,2,9,3.0,6,5,25.0,1,10,3,0
576,48,45,88.0,9,13,2,1,5.0,10,6,25.0,1,7,5,0
2000,22,45,88.0,2,15,7,7,4.0,10,4,26.0,2,7,4,0
1163,17,27,80.0,2,7,5,1,6.0,6,4,26.0,0,10,3,3
19,35,50,77.0,11,8,3,10,7.0,9,2,27.0,1,10,5,0
3716,53,27,91.0,18,14,4,1,4.0,0,6,26.0,0,8,4,0
3073,49,44,82.0,8,17,6,7,8.0,1,3,27.0,1,9,5,3
1635,30,45,82.0,23,21,6,2,6.0,3,2,26.0,0,7,5,3
2073,24,48,75.0,11,14,4,6,7.0,5,2,27.0,0,9,4,1
1274,39,46,89.0,18,7,2,2,4.0,5,4,26.0,2,8,4,0
755,26,39,90.0,4,17,6,8,4.0,6,7,25.0,2,7,3,3
754,27,55,90.0,4,18,6,0,4.0,6,7,25.0,1,8,6,1
3217,39,22,89.0,12,16,6,1,4.0,5,1,25.0,1,8,5,3
1327,32,37,88.0,10,17,5,5,3.0,6,3,26.0,1,8,3,0
639,46,32,87.0,20,15,8,1,5.0,1,6,26.0,2,10,3,1
2908,51,44,74.0,23,7,6,6,10.0,2,5,29.0,2,10,5,3
43,60,51,77.0,20,18,1,0,7.0,1,2,27.0,2,9,6,0
7,46,49,78.0,0,16,1,8,7.0,6,2,27.0,0,9,3,2
3135,55,37,88.0,1,15,8,1,4.0,9,6,27.0,0,7,6,0
2531,11,20,88.0,7,16,0,2,5.0,1,4,26.0,2,9,5,0
3371,45,46,78.0,13,10,7,10,6.0,6,7,26.0,0,9,4,0
471,60,49,94.0,14,18,1,2,4.0,9,5,25.0,1,8,5,2
421,37,41,92.0,17,17,1,2,4.0,2,3,25.0,0,7,5,1
2458,56,24,85.0,15,8,6,2,7.0,7,5,27.0,1,9,3,0
189,35,51,84.0,20,20,1,6,4.0,2,6,26.0,0,8,4,1
2382,17,51,83.0,21,7,0,10,5.0,7,2,26.0,1,8,6,0
3086,56,27,86.0,23,14,7,2,6.0,2,7,27.0,0,7,4,3
3883,60,33,76.0,19,8,10,4,7.0,5,7,26.0,1,8,5,3
905,41,21,82.0,7,19,8,3,5.0,3,2,27.0,2,7,6,1
1872,19,27,88.0,6,18,2,9,4.0,6,5,25.0,2,10,6,2
3224,13,33,84.0,7,11,10,1,7.0,3,2,26.0,1,10,5,3
2277,25,25,90.0,10,9,10,11,5.0,10,5,26.0,1,10,3,0
464,50,34,94.0,11,7,6,5,5.0,2,5,25.0,0,10,6,2
3982,32,40,92.0,7,21,4,9,3.0,4,6,26.0,0,9,5,1
1763,29,55,86.0,10,8,7,6,4.0,2,6,26.0,0,10,4,3
1691,36,59,85.0,6,9,7,2,4.0,0,6,26.0,0,7,6,2
1807,52,55,75.0,22,16,2,6,8.0,5,2,27.0,0,7,5,3
2960,60,58,92.0,5,18,0,6,3.0,10,6,26.0,1,9,6,0
3162,13,42,89.0,17,19,10,9,4.0,7,2,26.0,2,8,3,0
1435,19,29,83.0,4,19,6,7,4.0,1,6,26.0,1,7,4,1
3912,28,57,92.0,7,21,5,1,4.0,4,5,24.0,0,7,3,0
2645,44,25,92.0,2,20,3,2,6.0,10,7,26.0,1,8,5,3
65,24,42,77.0,23,19,0,5,7.0,8,2,27.0,0,8,4,0
2272,33,52,88.0,17,11,9,3,5.0,3,6,26.0,2,8,4,0
1778,22,39,91.0,4,7,10,8,4.0,3,6,26.0,1,8,3,1
432,17,49,92.0,22,14,2,11,4.0,2,3,25.0,2,7,5,2
1432,34,53,84.0,14,11,0,0,4.0,6,6,27.0,1,8,5,0
101,29,41,69.0,13,15,4,2,8.0,9,4,28.0,2,10,3,0
48,31,49,77.0,21,14,0,5,7.0,5,2,27.0,1,8,4,2
3285,29,60,86.0,4,18,7,5,4.0,1,5,26.0,2,10,4,1
3770,14,55,88.0,11,10,8,5,5.0,3,3,26.0,1,9,4,2
3993,13,45,78.0,5,19,1,1,6.0,9,7,27.0,2,8,6,0
995,40,24,75.0,21,10,4,10,11.0,3,7,28.0,1,8,6,1
3003,43,26,72.0,9,11,7,8,7.0,2,4,27.0,2,9,3,2
2534,34,53,93.0,4,12,0,11,4.0,10,7,25.0,0,7,6,3
2039,50,39,91.0,3,19,6,0,4.0,0,4,26.0,2,10,6,3
3234,59,30,92.0,5,13,5,10,3.0,9,3,25.0,1,7,4,1
2346,18,43,92.0,22,12,8,4,3.0,3,6,26.0,2,8,6,1
1674,40,32,87.0,7,15,6,7,8.0,1,7,26.0,2,7,5,3
828,54,21,83.0,23,8,1,5,8.0,7,5,27.0,2,10,5,3
2503,12,45,78.0,4,14,10,2,6.0,8,3,27.0,1,9,4,3
1782,32,43,80.0,12,12,7,2,5.0,8,7,27.0,2,7,5,3
129,13,39,77.0,12,14,4,2,7.0,2,5,27.0,2,8,6,0
363,12,35,91.0,14,12,1,1,4.0,1,7,25.0,0,10,6,2
2786,15,23,87.0,6,15,2,1,5.0,1,6,27.0,0,7,5,1
849,59,45,88.0,21,11,3,1,5.0,6,1,26.0,0,10,3,2
2974,21,44,87.0,2,21,6,2,4.0,2,2,26.0,2,8,3,1
1670,26,19,77.0,8,12,2,7,10.0,4,5,28.0,0,7,3,3
315,30,48,87.0,10,16,2,11,4.0,6,6,26.0,0,8,6,1
3053,44,56,85.0,11,19,0,8,7.0,2,1,27.0,2,10,5,2
237,41,29,74.0,17,16,3,4,6.0,4,3,25.0,1,10,5,0
1914,38,21,91.0,4,7,5,1,4.0,8,4,26.0,2,9,3,0
3696,39,33,90.0,17,21,6,11,4.0,2,1,27.0,0,7,3,0
3145,11,49,86.0,23,7,5,11,4.0,8,5,26.0,1,8,4,0
3644,57,24,82.0,17,8,10,2,6.0,6,4,26.0,2,8,3,1
2562,31,37,85.0,11,10,1,1,4.0,0,6,27.0,1,8,6,1
2485,25,18,83.0,21,12,4,6,5.0,2,3,27.0,1,8,5,1
522,57,51,94.0,22,10,5,2,5.0,2,5,25.0,2,9,5,3
2986,25,59,90.0,6,16,3,1,6.0,1,5,25.0,2,9,5,1
3973,43,25,86.0,17,11,5,5,5.0,4,1,27.0,1,8,5,0
3689,42,55,88.0,11,14,2,10,4.0,8,4,25.0,0,7,3,3
54,15,39,77.0,22,13,1,5,7.0,1,2,27.0,0,7,6,1
2236,42,25,88.0,22,10,9,11,4.0,10,6,26.0,1,8,5,1
3432,32,45,88.0,5,18,8,1,4.0,5,4,26.0,0,10,4,0
2410,36,31,89.0,15,8,6,7,5.0,4,4,26.0,1,8,6,0
1109,55,46,89.0,7,16,6,8,3.0,9,2,26.0,2,9,6,2
3648,56,44,87.0,17,14,10,8,5.0,5,7,26.0,1,7,5,0
1193,41,57,85.0,0,7,10,1,5.0,3,7,26.0,1,9,4,0
1481,46,31,92.0,7,18,7,4,3.0,5,6,26.0,0,7,5,1
382,39,50,91.0,20,8,9,8,4.0,6,1,26.0,0,9,5,1
2258,46,23,88.0,6,13,8,6,4.0,7,1,26.0,1,8,5,2
3087,42,36,81.0,8,10,4,4,6.0,10,4,27.0,0,9,6,3
157,11,54,86.0,10,7,0,8,4.0,5,6,26.0,0,9,6,1
3711,26,28,94.0,1,11,7,1,4.0,0,7,26.0,2,9,6,1
3020,33,23,85.0,22,14,7,4,5.0,6,2,27.0,0,9,5,2
558,53,39,88.0,4,7,3,2,5.0,3,6,25.0,1,10,5,1
835,26,33,81.0,21,18,5,2,6.0,7,2,27.0,2,9,5,2
3840,53,19,87.0,0,12,1,2,4.0,5,7,27.0,1,8,3,1
463,47,47,94.0,10,14,6,11,4.0,6,5,25.0,1,10,6,0
2309,38,42,77.0,2,18,9,5,10.0,5,1,27.0,1,7,5,0
3708,30,54,85.0,3,19,10,2,5.0,8,7,26.0,0,7,6,1
3568,41,43,90.0,10,11,3,8,4.0,10,1,25.0,2,10,5,3
2850,31,34,87.0,1,10,1,9,4.0,2,3,26.0,0,8,4,3
3461,17,48,79.0,15,21,7,1,6.0,3,3,27.0,0,9,3,0
2592,34,33,82.0,1,8,1,11,5.0,6,7,27.0,2,9,5,3
518,49,38,94.0,22,12,6,11,5.0,4,5,25.0,1,10,4,1
3362,56,37,87.0,20,18,7,1,7.0,1,5,26.0,0,9,4,2
1745,24,20,90.0,17,14,7,3,5.0,0,5,26.0,0,7,5,2
2513,33,48,69.0,17,12,4,1,7.0,0,6,29.0,0,9,3,2
2325,60,56,78.0,21,12,9,2,5.0,4,4,27.0,1,10,4,2
3539,53,20,80.0,10,14,2,8,7.0,6,5,28.0,0,7,5,1
2516,41,34,84.0,16,12,6,4,5.0,7,1,27.0,0,9,3,0
2043,56,60,80.0,1,13,10,11,5.0,2,4,27.0,0,10,5,0
595,31,36,88.0,11,11,3,2,4.0,6,6,26.0,2,10,5,2
1085,43,52,86.0,7,20,8,10,5.0,8,4,25.0,2,7,6,1
3717,33,31,79.0,5,16,9,5,6.0,7,4,27.0,2,8,6,3
3800,56,22,88.0,7,7,1,6,4.0,8,7,26.0,0,9,5,3
2063,18,39,69.0,10,17,5,2,6.0,6,3,28.0,1,7,5,1
2606,43,36,79.0,16,19,10,2,6.0,1,7,27.0,2,7,3,3
2450,30,40,91.0,4,21,3,11,6.0,2,5,25.0,1,8,6,3
2941,16,18,79.0,8,9,0,3,5.0,0,1,28.0,1,8,5,2
367,41,40,91.0,16,8,4,10,4.0,3,1,26.0,0,7,3,0
1232,57,57,80.0,20,11,0,6,5.0,9,3,25.0,2,9,5,0
3409,46,51,80.0,9,15,0,2,10.0,6,5,28.0,1,7,3,0
3875,11,49,73.0,2,21,5,10,6.0,7,4,26.0,0,7,3,1
1554,24,18,79.0,3,8,9,11,6.0,5,3,27.0,1,8,4,3
1137,25,47,67.0,1,7,3,1,7.0,10,5,26.0,1,9,6,3
3792,59,58,80.0,11,15,4,6,5.0,5,4,26.0,2,7,3,2
97,55,49,75.0,10,19,1,2,6.0,8,4,27.0,0,9,5,0
860,22,41,84.0,8,13,7,10,5.0,5,1,26.0,1,7,4,0
364,59,46,91.0,14,8,6,2,6.0,0,7,25.0,0,10,4,2
2225,24,18,84.0,23,20,5,9,4.0,1,6,26.0,1,7,5,1
381,23,28,90.0,20,18,6,2,4.0,4,1,26.0,1,7,3,1
3845,28,51,86.0,17,19,6,1,5.0,5,4,27.0,1,7,6,0
3673,47,26,91.0,11,17,1,1,4.0,3,5,26.0,0,10,3,0
3693,23,36,74.0,23,8,6,0,7.0,5,3,26.0,2,7,5,1
28,60,48,77.0,14,19,4,11,9.0,2,2,27.0,2,10,4,2
1098,39,33,90.0,0,13,9,2,5.0,2,4,26.0,1,9,6,1
447,32,34,90.0,19,14,1,2,3.0,5,4,25.0,1,7,3,2
2467,51,21,83.0,10,7,9,3,5.0,3,7,27.0,1,9,6,1
1733,27,41,78.0,21,10,2,7,7.0,6,7,26.0,0,9,3,2
2980,18,30,79.0,4,7,3,11,6.0,9,4,27.0,1,8,6,1
820,59,49,93.0,17,19,4,1,4.0,1,7,25.0,1,9,3,0
3356,34,24,85.0,12,17,4,9,3.0,8,7,26.0,1,10,3,1
2555,57,25,85.0,3,15,10,9,5.0,9,1,27.0,0,7,3,3
2090,30,28,84.0,11,15,6,1,5.0,6,3,28.0,1,9,3,0
2794,13,32,91.0,22,11,4,3,6.0,9,5,25.0,1,9,6,3
2836,30,24,90.0,8,12,7,10,4.0,7,4,26.0,1,8,3,3
2334,18,33,73.0,17,14,5,1,5.0,5,6,29.0,0,8,5,0
3254,22,33,87.0,4,13,8,1,4.0,0,7,27.0,2,10,3,0
1864,46,21,91.0,15,14,0,1,4.0,0,4,26.0,2,9,3,2
3360,20,59,89.0,19,9,9,4,5.0,7,2,25.0,0,10,3,1
721,58,46,90.0,4,18,6,10,4.0,6,7,25.0,1,10,4,2
2872,33,59,81.0,20,11,7,1,6.0,3,4,27.0,0,7,6,1
2116,19,51,87.0,1,21,6,6,6.0,0,1,26.0,1,9,6,1
2014,49,21,87.0,6,14,7,11,5.0,4,7,27.0,2,10,5,2
2013,38,52,93.0,19,18,0,4,6.0,4,7,26.0,1,7,3,1
1795,36,19,67.0,15,14,0,2,14.0,7,7,29.0,1,9,6,2
2699,53,18,84.0,12,16,5,0,7.0,8,1,27.0,0,8,6,2
3587,50,33,73.0,14,13,3,1,5.0,7,1,28.0,2,8,4,3
2963,39,43,67.0,2,21,2,2,10.0,5,6,29.0,1,9,6,2
779,27,42,90.0,4,19,2,0,5.0,3,7,26.0,0,10,4,0
3411,55,44,76.0,3,10,2,2,6.0,0,7,26.0,0,8,3,0
2335,25,23,76.0,21,7,9,7,5.0,2,6,27.0,0,9,4,1
1023,59,43,89.0,12,9,3,9,4.0,0,4,26.0,1,8,6,0
3480,48,30,78.0,3,13,4,2,6.0,3,7,27.0,1,9,6,1
4,15,34,83.0,21,13,1,6,5.0,1,1,26.0,0,9,3,2
428,58,40,92.0,22,17,4,4,4.0,2,3,25.0,2,10,6,2
2310,55,25,90.0,17,13,9,2,3.0,7,2,26.0,0,8,5,1
3881,40,34,79.0,15,19,1,8,6.0,8,4,27.0,1,10,4,1
1467,16,42,86.0,4,20,4,8,6.0,2,6,26.0,1,8,4,0
516,29,52,94.0,22,14,5,2,4.0,9,5,25.0,1,8,4,1
2726,26,35,84.0,22,7,8,8,7.0,10,4,28.0,0,8,5,0
3235,38,58,78.0,4,7,6,3,5.0,8,1,27.0,0,8,3,0
3615,36,19,74.0,5,15,2,2,5.0,7,6,29.0,1,8,4,2
350,46,43,91.0,11,12,1,6,4.0,3,7,25.0,1,10,5,1
3333,35,44,94.0,7,9,5,11,4.0,9,7,25.0,2,9,6,2
3378,43,56,92.0,11,21,9,6,3.0,2,3,25.0,1,9,4,0
1933,32,30,86.0,10,20,4,0,4.0,10,5,26.0,2,10,5,0
660,26,51,90.0,0,20,6,3,4.0,9,7,25.0,1,7,6,1
3630,34,55,89.0,10,15,1,1,4.0,6,4,26.0,2,8,5,3
2865,51,51,88.0,4,19,1,2,7.0,3,4,26.0,0,10,5,0
2998,54,27,84.0,12,11,9,2,4.0,7,6,26.0,2,7,6,2
899,47,48,90.0,17,7,8,11,4.0,9,4,26.0,0,8,3,1
2111,35,53,90.0,3,18,5,8,4.0,1,1,26.0,2,7,3,2
2838,53,37,86.0,20,14,7,4,5.0,7,1,26.0,1,9,3,0
158,21,50,86.0,10,13,2,1,4.0,2,6,26.0,0,10,4,0
1609,40,28,75.0,6,9,6,0,6.0,7,3,27.0,2,10,5,0
383,37,53,90.0,20,14,0,2,4.0,6,1,26.0,2,10,4,2
2085,33,29,73.0,15,17,2,2,7.0,7,6,29.0,1,9,4,2
1749,13,34,76.0,1,17,4,2,5.0,4,6,27.0,2,9,6,3
2788,38,47,83.0,22,11,6,2,6.0,10,2,27.0,0,7,4,2
140,36,38,77.0,20,12,8,10,7.0,0,5,27.0,0,9,6,3
1784,28,31,87.0,10,16,7,6,6.0,4,1,26.0,1,10,5,2
465,46,54,94.0,11,21,6,1,4.0,5,5,24.0,1,9,4,3
3181,21,60,86.0,5,14,8,7,5.0,7,5,26.0,2,7,6,0
1132,56,32,71.0,17,14,6,5,6.0,2,5,27.0,0,8,6,0
299,15,37,84.0,23,7,0,6,5.0,8,3,26.0,1,7,3,0
3979,30,30,78.0,15,14,1,11,5.0,7,3,27.0,2,10,5,3
397,47,36,92.0,9,21,3,2,4.0,1,2,26.0,2,8,4,3
1615,32,33,86.0,13,14,2,8,4.0,6,3,27.0,2,8,3,1
3192,46,58,87.0,13,13,5,11,4.0,4,5,25.0,2,9,6,0
934,37,42,79.0,1,13,5,1,6.0,4,3,27.0,1,10,4,0
887,57,20,88.0,21,16,10,10,5.0,5,7,26.0,1,10,4,0
2780,33,18,80.0,16,10,4,1,6.0,9,1,26.0,0,10,4,0
3068,42,48,85.0,21,19,2,3,4.0,10,5,26.0,1,8,3,1
2118,39,32,84.0,3,16,3,4,4.0,10,6,27.0,2,7,5,1
1033,18,56,78.0,5,14,9,8,6.0,4,4,27.0,2,7,6,0
2361,15,46,85.0,20,11,8,1,4.0,1,7,27.0,0,8,4,2
3169,54,22,86.0,0,19,1,4,6.0,4,7,27.0,2,8,5,2
1876,29,58,82.0,3,7,2,10,6.0,5,4,26.0,1,8,6,2
1048,26,36,79.0,13,12,2,4,5.0,5,3,27.0,1,8,5,2
3081,43,55,89.0,22,14,0,5,5.0,2,6,26.0,1,9,3,0
2688,55,20,89.0,2,13,0,0,3.0,8,6,27.0,2,9,3,3
1528,42,30,72.0,1,17,7,7,5.0,3,6,28.0,1,9,3,1
3303,37,45,81.0,4,17,8,4,5.0,6,3,27.0,2,9,4,0
846,20,54,89.0,9,12,5,2,5.0,0,4,26.0,2,7,5,0
251,27,52,74.0,20,21,1,8,7.0,8,3,25.0,1,9,6,0
2171,29,25,73.0,11,8,6,8,7.0,6,6,29.0,2,8,4,3
2725,14,21,87.0,18,12,10,2,5.0,4,4,26.0,2,8,6,2
3635,22,38,84.0,0,7,9,1,4.0,7,6,27.0,0,9,5,2
806,59,29,79.0,20,10,4,2,7.0,6,6,27.0,1,8,4,0
1552,55,42,87.0,0,16,4,2,6.0,4,7,25.0,0,9,5,3
3137,27,55,88.0,10,21,7,11,5.0,10,4,26.0,1,7,5,3
715,13,28,90.0,4,7,0,2,5.0,5,7,26.0,1,8,6,1
336,16,29,91.0,9,8,3,11,6.0,2,7,25.0,1,8,4,0
1918,38,33,75.0,21,19,10,11,10.0,10,2,27.0,0,8,5,1
987,55,39,82.0,4,16,4,2,4.0,10,7,26.0,1,9,6,0
3640,51,44,77.0,23,13,2,4,5.0,2,3,26.0,2,9,6,0
3164,49,39,90.0,9,15,8,8,5.0,7,2,26.0,1,10,4,3
195,19,53,86.0,21,15,2,8,4.0,10,6,26.0,0,8,5,0
3300,27,52,88.0,5,7,10,8,4.0,9,6,27.0,2,9,3,0
2500,57,21,89.0,5,9,2,5,7.0,9,6,26.0,2,7,6,1
281,60,29,85.0,20,15,0,6,4.0,4,3,26.0,2,8,4,0
1044,14,53,90.0,5,8,6,2,4.0,3,4,26.0,1,7,6,0
279,42,47,84.0,19,7,6,8,4.0,0,3,26.0,1,10,5,0
1759,39,28,89.0,14,14,8,2,5.0,6,7,26.0,1,10,3,1
96,37,55,69.0,10,21,1,5,6.0,6,4,28.0,1,8,3,0
1521,60,39,83.0,13,18,9,11,6.0,4,5,26.0,0,9,5,1
441,47,46,91.0,10,16,3,10,3.0,2,4,25.0,1,8,5,2
1196,16,33,89.0,20,14,4,2,3.0,0,2,26.0,2,7,4,3
3493,25,39,86.0,8,10,9,2,4.0,8,1,26.0,1,10,6,2
2420,34,44,74.0,8,16,3,8,6.0,0,3,28.0,0,9,6,3
1042,25,21,92.0,10,8,1,0,4.0,7,5,24.0,1,7,5,2
3090,23,40,88.0,20,10,8,7,5.0,5,5,26.0,2,10,5,2
3437,40,32,90.0,7,14,2,5,4.0,4,2,25.0,2,7,3,2
2268,25,60,76.0,19,8,2,2,4.0,2,5,27.0,2,10,4,3
2883,30,56,90.0,22,9,0,2,5.0,0,6,26.0,0,9,3,0
330,53,46,91.0,7,20,0,9,4.0,9,7,25.0,0,10,5,3
392,43,50,90.0,23,12,6,2,4.0,9,1,26.0,2,8,6,2
3197,38,21,92.0,2,19,5,11,4.0,2,4,26.0,2,8,4,1
3888,56,58,78.0,22,12,3,8,4.0,5,3,27.0,1,10,5,0
3510,33,46,86.0,3,21,4,1,8.0,5,3,27.0,1,9,4,2
1515,52,30,81.0,4,7,2,10,5.0,6,4,25.0,1,10,6,0
861,55,55,84.0,17,13,4,1,6.0,6,1,26.0,0,7,6,0
745,54,40,90.0,4,9,2,2,5.0,2,7,26.0,1,7,3,1
